date,ticker,headline,sector,category,true_label
2019-01-04,AAPL,"AAPL reports record quarterly revenue, beats estimates by 7%",Technology,Analyst,positive
2019-01-08,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $206",Technology,Product,positive
2019-01-10,AAPL,"Data breach at AAPL affects 34M users, regulatory scrutiny follows",Technology,Merger,negative
2019-01-11,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $246",Technology,Analyst,positive
2019-01-24,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2019-01-25,MARKET,VIX spikes to 21 as market volatility surges,Macro,Macro,neutral
2019-01-28,MARKET,S&P 500 enters correction territory amid global uncertainty,Macro,Macro,neutral
2019-01-29,AAPL,"Data breach at AAPL affects 10M users, regulatory scrutiny follows",Technology,Earnings,negative
2019-01-31,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,neutral
2019-02-05,MARKET,VIX spikes to 33 as market volatility surges,Macro,Macro,neutral
2019-02-08,MARKET,"CPI inflation comes in at 4.0307266984173005%, above consensus estimate",Macro,Macro,neutral
2019-02-15,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2019-02-20,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2019-02-25,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,neutral
2019-02-27,MARKET,"GDP growth revised to 2.0841370400282355%, economy shows resilience",Macro,Macro,neutral
2019-03-04,MARKET,S&P 500 enters bear market territory amid global uncertainty,Macro,Macro,neutral
2019-03-05,MARKET,"10-year Treasury yield reaches 3.644409104198952%, highest since 2010",Macro,Macro,neutral
2019-03-06,MARKET,VIX spikes to 34 as market volatility surges,Macro,Macro,neutral
2019-03-07,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2019-03-08,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2019-03-15,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $798",Technology,Merger,positive
2019-03-20,MARKET,Sector rotation: investors flee Energy for Energy amid global uncertainty,Macro,Macro,neutral
2019-03-21,AAPL,"Analysts upgrade AAPL to Buy, raise price target to $521",Technology,Regulatory,positive
2019-03-26,AAPL,"AAPL misses revenue estimates by 19%, guides lower for next quarter",Technology,Analyst,negative
2019-03-28,MARKET,"Federal Reserve holds rates steady, signals data-dependent approach",Macro,Macro,neutral
2019-04-01,AAPL,"AAPL misses revenue estimates by 13%, guides lower for next quarter",Technology,Regulatory,negative
